ID	Data + units	Time
6	-0.091200, 1.938000, 0.106400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.169221455s
6	-0.144400, -0.007600, 0.182400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.172339029s
6	-0.220400, -0.007600, 0.235600 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.175456603s
6	-0.273600, -0.007600, 0.220400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.178574177s
6	-0.273600, -0.007600, 0.098800 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.181691751s
6	-0.212800, -0.007600, 0.000000 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.184809325s
6	-0.159600, -0.007600, -0.045600 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.187926899s
6	-0.129200, 1.938000, -0.015200 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.191044473s
6	-0.129200, 1.938000, 0.015200 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.194162047s
6	-0.114000, 1.938000, 0.038000 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.197279621s
6	-0.129200, 1.938000, 0.068400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.200397195s
6	-0.228000, 1.938000, 0.076000 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.203514769s
6	-0.372400, 1.938000, 0.022800 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.206632343s
6	-0.410400, 1.938000, -0.053200 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.209749917s
6	-0.342000, 1.938000, -0.106400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.212867491s
6	-0.197600, 1.938000, -0.121600 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.215985065s
6	-0.083600, 1.938000, -0.076000 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.219102639s
6	-0.053200, 1.938000, 0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.222220213s
6	-0.098800, 1.938000, 0.144400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.225337787s
6	-0.182400, 1.938000, 0.228000 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.228455361s
6	-0.205200, 1.938000, 0.197600 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.252000580s
6	-0.197600, 1.938000, 0.106400 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.258049617s
6	-0.190000, 1.938000, -0.053200 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.264098654s
6	-0.220400, 1.938000, -0.167200 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.270147691s
6	-0.319200, 1.938000, -0.220400 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.276196728s
6	-0.402800, 1.938000, -0.174800 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.282245765s
6	-0.456000, 1.938000, -0.091200 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.288294802s
6	-0.410400, 1.938000, -0.022800 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.294343839s
6	-0.319200, 1.938000, -0.015200 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.300392876s
6	-0.205200, 1.938000, -0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.306441913s
6	-0.053200, -0.007600, -0.045600 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.312490950s
6	0.045600, -1.945600, -0.045600 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.318539987s
6	0.030400, -1.945600, -0.045600 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.324589024s
6	-0.106400, -0.007600, 0.007600 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.330638061s
6	-0.197600, -0.007600, 0.053200 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.336687098s
6	-0.212800, -0.007600, 0.106400 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.342736135s
6	-0.159600, -0.007600, 0.129200 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.348785172s
6	-0.121600, -0.007600, 0.144400 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.354834209s
6	-0.182400, 1.938000, 0.152000 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.360883246s
6	-0.319200, 1.938000, 0.159600 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.366932283s
6	-0.524400, 1.938000, 0.129200 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.372981320s
6	-0.653600, 1.938000, 0.076000 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.379030357s
6	-0.699200, 1.938000, -0.015200 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.385079394s
6	-0.600400, 1.938000, -0.045600 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.391128431s
6	-0.463600, 1.938000, -0.038000 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.397177468s
6	-0.326800, 1.938000, 0.038000 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.403226505s
6	-0.220400, 1.938000, 0.106400 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.409275542s
6	-0.167200, 1.938000, 0.174800 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.415324579s
6	-0.167200, 1.938000, 0.190000 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.421373616s
6	-0.136800, 1.938000, 0.174800 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.427422653s
6	-0.068400, 1.938000, 0.114000 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.433471690s
6	-0.045600, 1.938000, 0.045600 X deg/s, Y deg/s, Z deg/s	At T: 1540594769.439520727s
