ID	Data + units	Time
7	-0.039000, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595024.140024803s
7	-0.031200, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540595024.149639219s
7	-0.040950, 0.044850, 0.994500 X G, Y G, Z G	At T: 1540595024.159253635s
7	-0.039000, 0.042900, 0.982800 X G, Y G, Z G	At T: 1540595024.168868051s
7	-0.040950, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540595024.178482467s
7	-0.037050, 0.037050, 0.980850 X G, Y G, Z G	At T: 1540595024.188096883s
7	-0.046800, 0.052650, 0.984750 X G, Y G, Z G	At T: 1540595024.197711299s
7	-0.037050, 0.040950, 0.988650 X G, Y G, Z G	At T: 1540595024.207325715s
7	-0.044850, 0.040950, 0.992550 X G, Y G, Z G	At T: 1540595024.216940131s
7	-0.039000, 0.048750, 0.986700 X G, Y G, Z G	At T: 1540595024.226554547s
7	-0.037050, 0.044850, 0.992550 X G, Y G, Z G	At T: 1540595025.248350168s
7	-0.042900, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595025.258451832s
7	-0.037050, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540595025.268553496s
7	-0.044850, 0.044850, 0.986700 X G, Y G, Z G	At T: 1540595025.278655160s
7	-0.035100, 0.040950, 0.967200 X G, Y G, Z G	At T: 1540595025.288756824s
7	-0.054600, 0.046800, 0.971100 X G, Y G, Z G	At T: 1540595025.298858488s
7	-0.046800, 0.035100, 0.982800 X G, Y G, Z G	At T: 1540595025.308960152s
7	-0.044850, 0.042900, 0.986700 X G, Y G, Z G	At T: 1540595025.319061816s
7	-0.040950, 0.042900, 0.994500 X G, Y G, Z G	At T: 1540595025.329163480s
7	-0.042900, 0.035100, 0.986700 X G, Y G, Z G	At T: 1540595025.339265144s
7	-0.040950, 0.040950, 0.986700 X G, Y G, Z G	At T: 1540595025.349366808s
7	-0.039000, 0.046800, 0.984750 X G, Y G, Z G	At T: 1540595025.359468472s
7	-0.039000, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595025.369570136s
7	-0.042900, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595025.379671800s
7	-0.044850, 0.040950, 0.980850 X G, Y G, Z G	At T: 1540595025.389773464s
7	-0.040950, 0.044850, 0.984750 X G, Y G, Z G	At T: 1540595025.399875128s
7	-0.046800, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595025.409976792s
7	-0.042900, 0.040950, 0.984750 X G, Y G, Z G	At T: 1540595025.420078456s
7	-0.044850, 0.042900, 0.986700 X G, Y G, Z G	At T: 1540595025.430180120s
7	-0.046800, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595025.440281784s
7	-0.044850, 0.044850, 0.988650 X G, Y G, Z G	At T: 1540595025.450383448s
7	-0.040950, 0.042900, 0.986700 X G, Y G, Z G	At T: 1540595025.460485112s
7	-0.042900, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540595025.470586776s
7	-0.042900, 0.031200, 0.975000 X G, Y G, Z G	At T: 1540595025.480688440s
7	-0.040950, 0.044850, 0.984750 X G, Y G, Z G	At T: 1540595026.474229982s
7	-0.040950, 0.042900, 0.986700 X G, Y G, Z G	At T: 1540595026.484062543s
7	-0.042900, 0.046800, 0.984750 X G, Y G, Z G	At T: 1540595026.493895104s
7	-0.040950, 0.040950, 0.988650 X G, Y G, Z G	At T: 1540595026.503727665s
7	-0.044850, 0.035100, 0.990600 X G, Y G, Z G	At T: 1540595026.513560226s
7	-0.042900, 0.044850, 0.994500 X G, Y G, Z G	At T: 1540595026.523392787s
7	-0.046800, 0.040950, 0.988650 X G, Y G, Z G	At T: 1540595026.533225348s
7	-0.050700, 0.046800, 0.982800 X G, Y G, Z G	At T: 1540595026.543057909s
7	-0.042900, 0.040950, 0.984750 X G, Y G, Z G	At T: 1540595026.552890470s
7	-0.050700, 0.044850, 0.982800 X G, Y G, Z G	At T: 1540595026.562723031s
7	-0.052650, 0.044850, 0.992550 X G, Y G, Z G	At T: 1540595026.572555592s
7	-0.044850, 0.039000, 0.998400 X G, Y G, Z G	At T: 1540595026.582388153s
7	-0.050700, 0.039000, 0.990600 X G, Y G, Z G	At T: 1540595026.592220714s
7	-0.050700, 0.044850, 0.984750 X G, Y G, Z G	At T: 1540595026.602053275s
7	-0.048750, 0.044850, 0.984750 X G, Y G, Z G	At T: 1540595026.611885836s
7	-0.048750, 0.044850, 0.986700 X G, Y G, Z G	At T: 1540595026.621718397s
7	-0.050700, 0.040950, 0.992550 X G, Y G, Z G	At T: 1540595026.631550958s
7	-0.044850, 0.042900, 0.980850 X G, Y G, Z G	At T: 1540595026.641383519s
7	-0.046800, 0.039000, 0.986700 X G, Y G, Z G	At T: 1540595026.651216080s
